代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000001,上证指数,3956.2055,9.463,0.24,3946.7424,3960.6993,3967.971,3945.6664,310089950,418707622954
sh000002,Ａ股指数,4148.1322,10.021,0.242,4138.1114,4152.7693,4160.41,4137.0396,309953796,418417554788
sh000003,Ｂ股指数,254.6548,-0.545,-0.213,255.1996,255.2088,255.5474,254.2351,91304,43356664
sh000004,工业指数,3536.1032,-9.984,-0.282,3546.0873,3563.0714,3567.1701,3528.394,179111702,305675519093
sh000005,商业指数,2910.2113,23.331,0.808,2886.8808,2902.296,2911.0226,2893.1413,26477056,26051102303
sh000006,地产指数,4494.2913,19.25,0.43,4475.0412,4470.7115,4499.333,4434.0373,7012593,3796985461
sh000007,公用指数,4768.2836,15.345,0.323,4752.9391,4761.1477,4773.7572,4756.6289,22813042,14015151292
sh000008,综合指数,3724.5516,44.103,1.198,3680.449,3684.1046,3724.5516,3672.1125,74675557,69168864805
sh000009,上证380,6346.83,-28.23,-0.443,6375.0602,6406.1235,6416.8296,6334.8135,43704518,70582916440
sh000010,上证180,10019.0122,18.11,0.181,10000.9017,10046.1727,10049.9032,9991.3042,77861352,125328233655
sh000011,基金指数,7124.4238,0.725,0.01,7123.6987,7131.2162,7132.8753,7121.7168,624292742,195517414981
sh000012,国债指数,225.5715,0.041,0.018,225.5309,225.5454,225.5791,225.5416,3483709,3506990349
sh000015,红利指数,3178.5733,23.349,0.74,3155.2239,3153.3465,3178.6367,3151.1512,25198410,18719459095
sh000016,上证50,3030.3848,10.036,0.332,3020.3487,3030.0366,3036.2755,3020.883,29050409,53935678606
sh000017,新综指,3344.0812,8.017,0.24,3336.0638,3347.874,3354.0313,3335.1652,305435609,411022532888
sh000018,180金融,5951.1803,78.541,1.337,5872.6396,5892.5304,5951.1803,5873.3592,38710959,35074114769
sh000019,治理指数,1232.425,3.824,0.311,1228.6006,1230.2358,1234.2593,1228.704,48539635,67855670291
sh000020,中型综指,1619.9948,-9.022,-0.554,1629.0166,1642.8963,1646.0853,1615.5939,49633009,103743003068
sh000021,180治理,1079.8197,4.465,0.415,1075.3544,1076.0769,1080.4638,1075.2024,33955061,46156298294
sh000022,沪公司债,253.2462,0.017,0.007,253.2289,253.2466,253.2466,253.2462,7800,7708845
sh000025,180基建,1826.2575,10.126,0.558,1816.1312,1817.7283,1826.2575,1816.509,8816053,6516667040
sh000026,180资源,5266.2,9.197,0.175,5257.0032,5241.7744,5298.4876,5241.7744,8944706,21440872121
sh000027,180运输,782.6677,-2.704,-0.344,785.3716,784.6,787.4851,781.0059,2500066,2222894294
